seed,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
9,Random Placement,7718.938252,209,49,51.892366,0.092387,126.622968,14.365736,True
9,Importance-based Placement,7408.846014,101,49,51.892366,0.102621,118.860427,14.365736,True
9,No-similarity Placement,10194.379487,0,35,51.892366,0.004300,188.360014,14.602806,True
9,Importance-demand-first Placement,7504.484192,32,49,51.892366,0.080683,122.784319,12.854736,True
10,Proposed,3813.088857,384,49,51.781465,0.050826,32.402480,11.092450,True
10,Random Placement,5990.416393,257,49,51.781465,0.059056,85.212208,12.707680,True
10,Importance-based Placement,7393.320591,101,49,51.781465,0.102621,118.860427,14.088501,True
10,No-similarity Placement,10177.979023,0,35,51.781465,0.004300,188.360014,14.303696,True
10,Importance-demand-first Placement,7494.165919,32,49,51.781465,0.080683,122.784319,12.707680,True
11,Proposed,3813.925651,384,49,51.752443,0.050826,32.402480,11.142392,True
11,Random Placement,5271.821885,178,49,51.752443,0.113997,67.175561,12.753547,True
11,Importance-based Placement,7392.378901,101,49,51.752443,0.102621,118.860427,14.093981,True
11,No-similarity Placement,10176.301797,0,35,51.752443,0.004300,188.360014,14.290787,True
11,Importance-demand-first Placement,7494.839685,32,49,51.752443,0.080683,122.784319,12.753547,True
12,Proposed,3810.702652,384,49,51.756407,0.050826,32.402480,11.057854,True
12,Random Placement,7474.331016,209,49,51.756407,0.084689,122.069696,12.947484,True
12,Importance-based Placement,7401.825207,101,49,51.756407,0.102621,118.860427,14.326175,True
12,No-similarity Placement,10189.761580,0,35,51.756407,0.004300,188.360014,14.623318,True
12,Importance-demand-first Placement,7502.755703,32,49,51.756407,0.080683,122.784319,12.947484,True
13,Proposed,3808.810769,384,49,51.741464,0.050826,32.402480,11.025499,True
13,Random Placement,5694.288877,259,49,51.741464,0.076892,77.718749,12.820117,True
13,Importance-based Placement,7394.245935,101,49,51.741464,0.102621,118.860427,14.151636,True
13,No-similarity Placement,10175.799786,0,35,51.741464,0.004300,188.360014,14.289216,True
13,Importance-demand-first Placement,7497.063342,32,49,51.741464,0.080683,122.784319,12.820117,True
14,Proposed,3820.362099,384,49,51.754589,0.050826,32.402480,11.301157,True
14,Random Placement,6844.658768,274,49,51.754589,0.098750,106.210328,13.052803,True
14,Importance-based Placement,7401.144404,101,49,51.754589,0.102621,118.860427,14.310973,True
14,No-similarity Placement,10184.200417,0,35,51.754589,0.004300,188.360014,14.486107,True
14,Importance-demand-first Placement,7499.471385,32,49,51.754589,0.080683,122.784319,12.867193,True
15,Proposed,3804.416899,384,49,51.711034,0.050826,32.402480,10.946082,True
15,Random Placement,8316.036696,187,49,51.711034,0.077618,143.553150,12.559115,True
15,Importance-based Placement,7383.932553,101,49,51.711034,0.102621,118.860427,13.924231,True
15,No-similarity Placement,10163.963360,0,35,51.711034,0.004300,188.360014,14.023735,True
15,Importance-demand-first Placement,7485.406070,32,49,51.711034,0.080683,122.784319,12.559115,True
16,Proposed,3826.091693,384,49,51.761559,0.050826,32.402480,11.437427,True
16,Random Placement,4804.683539,278,49,51.761559,0.052817,55.002202,13.300511,True
16,Importance-based Placement,7410.910773,101,49,51.761559,0.102621,118.860427,14.548162,True
16,No-similarity Placement,10193.711883,0,35,51.761559,0.004300,188.360014,14.716923,True
16,Importance-demand-first Placement,7507.771286,32,49,51.761559,0.080683,122.784319,13.067720,True
17,Proposed,3818.352118,384,49,51.838760,0.050826,32.402480,11.166737,True
17,Random Placement,6874.351624,132,49,51.838760,0.048560,107.315953,12.655518,True
17,Importance-based Placement,7400.026233,101,49,51.838760,0.102621,118.860427,14.198847,True
17,No-similarity Placement,10183.053017,0,35,51.838760,0.004300,188.360014,14.373251,True
17,Importance-demand-first Placement,7494.371212,32,49,51.838760,0.080683,122.784319,12.655518,True
18,Proposed,3827.184071,384,49,51.827982,0.050826,32.402480,11.398313,True
18,Random Placement,4646.525378,283,49,51.827982,0.030519,51.444725,12.859907,True
18,Importance-based Placement,7406.768500,101,49,51.827982,0.102621,118.860427,14.378182,True
18,No-similarity Placement,10190.171752,0,35,51.827982,0.004300,188.360014,14.561997,True
18,Importance-demand-first Placement,7502.115695,32,49,51.827982,0.080683,122.784319,12.859907,True
19,Proposed,3815.941429,384,49,51.841035,0.050826,32.402480,11.104195,True
19,Random Placement,10070.088133,188,49,51.841035,0.062807,187.255347,12.593015,True
19,Importance-based Placement,7393.710408,101,49,51.841035,0.102621,118.860427,14.038677,True
19,No-similarity Placement,10175.700360,0,35,51.841035,0.004300,188.360014,14.187160,True
19,Importance-demand-first Placement,7491.962089,32,49,51.841035,0.080683,122.784319,12.593015,True
20,Proposed,3823.470328,384,49,51.805794,0.050826,32.402480,11.327658,True
20,Random Placement,5808.673446,302,49,51.805794,0.069946,80.111119,13.229977,True
20,Importance-based Placement,7411.004190,101,49,51.805794,0.102621,118.860427,14.506262,True
20,No-similarity Placement,10194.792543,0,35,51.805794,0.004300,188.360014,14.699705,True
20,Importance-demand-first Placement,7508.879056,32,49,51.805794,0.080683,122.784319,13.051180,True
21,Proposed,3817.512662,384,49,51.805422,0.050826,32.402480,11.179088,True
21,Random Placement,3954.700828,322,49,51.805422,0.115113,33.972654,12.974331,True
21,Importance-based Placement,7401.509733,101,49,51.805422,0.102621,118.860427,14.269273,True
21,No-similarity Placement,10186.177239,0,35,51.805422,0.004300,188.360014,14.484694,True
21,Importance-demand-first Placement,7498.831027,32,49,51.805422,0.080683,122.784319,12.800351,True
22,Proposed,3815.710171,384,49,51.668725,0.050826,32.402480,11.270723,True
22,Random Placement,7647.988043,254,49,51.668725,0.108821,126.584324,12.837831,True
22,Importance-based Placement,7394.054398,101,49,51.668725,0.102621,118.860427,14.219587,True
22,No-similarity Placement,10173.888111,0,35,51.668725,0.004300,188.360014,14.314163,True
22,Importance-demand-first Placement,7494.862328,32,49,51.668725,0.080683,122.784319,12.837831,True
23,Proposed,3798.807918,384,49,51.541704,0.050826,32.402480,10.975188,True
23,Random Placement,5713.624215,215,49,51.541704,0.108384,77.204726,13.985792,True
23,Importance-based Placement,7379.621743,101,49,51.541704,0.102621,118.860427,13.985792,True
23,No-similarity Placement,10165.052410,0,35,51.541704,0.004300,188.360014,14.220292,True
23,Importance-demand-first Placement,7482.007089,32,49,51.541704,0.080683,122.784319,12.643471,True
24,Proposed,3806.281529,384,49,51.524377,0.050826,32.402480,11.179355,True
24,Random Placement,6185.482870,233,49,51.524377,0.083726,90.134038,12.894931,True
24,Importance-based Placement,7388.528401,101,49,51.524377,0.102621,118.860427,14.225785,True
24,No-similarity Placement,10177.487010,0,35,51.524377,0.004300,188.360014,14.548484,True
24,Importance-demand-first Placement,7491.372407,32,49,51.524377,0.080683,122.784319,12.894931,True
25,Proposed,3794.672477,384,49,51.456131,0.050826,32.402480,10.957375,True
25,Random Placement,6849.221952,247,49,51.456131,0.106004,105.575837,14.092576,True
25,Importance-based Placement,7380.470245,101,49,51.456131,0.102621,118.860427,14.092576,True
25,No-similarity Placement,10165.486495,0,35,51.456131,0.004300,188.360014,14.316716,True
25,Importance-demand-first Placement,7486.824825,32,49,51.456131,0.080683,122.784319,12.849487,True
26,Proposed,3804.124895,384,49,51.488793,0.050826,32.402480,11.161024,True
26,Random Placement,7897.920966,166,49,51.488793,0.154347,131.599805,14.205079,True
26,Importance-based Placement,7376.963502,101,49,51.488793,0.102621,118.860427,13.972247,True
26,No-similarity Placement,10162.327461,0,35,51.488793,0.004300,188.360014,14.205079,True
26,Importance-demand-first Placement,7484.963130,32,49,51.488793,0.080683,122.784319,12.770283,True
27,Proposed,3797.233761,384,49,51.467280,0.050826,32.402480,11.010257,True
27,Random Placement,9562.824358,236,49,51.467280,0.106098,174.878352,12.618878,True
27,Importance-based Placement,7367.083195,101,49,51.467280,0.102621,118.860427,13.746751,True
27,No-similarity Placement,10150.490742,0,35,51.467280,0.004300,188.360014,13.930673,True
27,Importance-demand-first Placement,7478.046431,32,49,51.467280,0.080683,122.784319,12.618878,True
28,Proposed,3807.724986,384,49,51.567300,0.050826,32.402480,11.172518,True
28,Random Placement,5918.118132,204,49,51.567300,0.053230,82.022670,14.309753,True
28,Importance-based Placement,7389.435917,101,49,51.567300,0.102621,118.860427,14.205549,True
28,No-similarity Placement,10169.654701,0,35,51.567300,0.004300,188.360014,14.309753,True
28,Importance-demand-first Placement,7503.126545,32,49,51.567300,0.080683,122.784319,13.145861,True
29,Proposed,3809.333276,384,49,51.488981,0.050826,32.402480,11.291044,True
29,Random Placement,7442.632543,171,49,51.488981,0.127040,121.263360,13.186432,True
29,Importance-based Placement,7388.309501,101,49,51.488981,0.102621,118.860427,14.255708,True
29,No-similarity Placement,10169.899187,0,35,51.488981,0.004300,188.360014,14.394184,True
29,Importance-demand-first Placement,7501.616641,32,49,51.488981,0.080683,122.784319,13.186432,True
30,Proposed,3805.500199,384,49,51.513250,0.050826,32.402480,11.170949,True
30,Random Placement,7362.141107,284,49,51.513250,0.087871,119.548625,12.903782,True
30,Importance-based Placement,7377.269214,101,49,51.513250,0.102621,118.860427,13.955432,True
30,No-similarity Placement,10155.565639,0,35,51.513250,0.004300,188.360014,14.011577,True
30,Importance-demand-first Placement,7491.281348,32,49,51.513250,0.080683,122.784319,12.903782,True
31,Proposed,3800.988248,384,49,51.444943,0.050826,32.402480,11.126457,True
31,Random Placement,6982.794997,241,49,51.444943,0.127451,110.119670,12.877810,True
31,Importance-based Placement,7372.684120,101,49,51.444943,0.102621,118.860427,13.909111,True
31,No-similarity Placement,10147.543313,0,35,51.444943,0.004300,188.360014,13.879325,True
31,Importance-demand-first Placement,7487.510255,32,49,51.444943,0.080683,122.784319,12.877810,True
32,Proposed,3798.210004,384,49,51.375251,0.050826,32.402480,11.126693,True
32,Random Placement,5250.669679,300,49,51.375251,0.058337,66.700832,13.132322,True
32,Importance-based Placement,7379.775535,101,49,51.375251,0.102621,118.860427,14.156089,True
32,No-similarity Placement,10152.609697,0,35,51.375251,0.004300,188.360014,14.075677,True
32,Importance-demand-first Placement,7494.903011,32,49,51.375251,0.080683,122.784319,13.132322,True
33,Proposed,3806.019832,384,49,51.399207,0.050826,32.402480,11.297982,True
33,Random Placement,5108.297029,217,49,51.399207,0.105591,62.975648,13.226979,True
33,Importance-based Placement,7388.896787,101,49,51.399207,0.102621,118.860427,14.360164,True
33,No-similarity Placement,10161.048041,0,35,51.399207,0.004300,188.360014,14.262679,True
33,Importance-demand-first Placement,7499.647541,32,49,51.399207,0.080683,122.784319,13.226979,True
34,Proposed,3808.910118,384,49,51.428058,0.050826,32.402480,11.341389,True
34,Random Placement,6311.802337,248,49,51.428058,0.080306,93.029784,13.256911,True
34,Importance-based Placement,7382.421734,101,49,51.428058,0.102621,118.860427,14.169437,True
34,No-similarity Placement,10154.898007,0,35,51.428058,0.004300,188.360014,14.080077,True
34,Importance-demand-first Placement,7495.135119,32,49,51.428058,0.080683,122.784319,13.085317,True
35,Proposed,3798.050477,384,49,51.365788,0.050826,32.402480,11.132167,True
35,Random Placement,5556.968784,207,49,51.365788,0.034057,74.655582,12.868792,True
35,Importance-based Placement,7368.968995,101,49,51.365788,0.102621,118.860427,13.895388,True
35,No-similarity Placement,10143.665232,0,35,51.365788,0.004300,188.360014,13.861528,True
35,Importance-demand-first Placement,7483.983304,32,49,51.365788,0.080683,122.784319,12.868792,True
36,Proposed,3804.849255,384,49,51.329726,0.050826,32.402480,11.338199,True
36,Random Placement,6931.075224,265,49,51.329726,0.096231,108.669275,13.181649,True
36,Importance-based Placement,7374.459247,101,49,51.329726,0.102621,118.860427,14.068707,True
36,No-similarity Placement,10147.228045,0,35,51.329726,0.004300,188.360014,13.986661,True
36,Importance-demand-first Placement,7495.055079,32,49,51.329726,0.080683,122.784319,13.181649,True
37,Proposed,3794.239326,384,49,51.346382,0.050826,32.402480,11.056296,True
37,Random Placement,3755.743463,159,49,51.346382,0.028026,29.333805,13.185374,True
37,Importance-based Placement,7372.221723,101,49,51.346382,0.102621,118.860427,13.996113,True
37,No-similarity Placement,10140.040480,0,35,51.346382,0.004300,188.360014,13.790316,True
37,Importance-demand-first Placement,7495.870305,32,49,51.346382,0.080683,122.784319,13.185374,True
38,Proposed,3809.086836,384,49,51.408673,0.050826,32.402480,11.365192,True
38,Random Placement,7923.367105,158,49,51.408673,0.111592,133.232570,13.331343,True
38,Importance-based Placement,7380.981053,101,49,51.408673,0.102621,118.860427,14.152805,True
38,No-similarity Placement,10151.242411,0,35,51.408673,0.004300,188.360014,14.008073,True
38,Importance-demand-first Placement,7504.200736,32,49,51.408673,0.080683,122.784319,13.331343,True
39,Proposed,3795.803658,384,49,51.398605,0.050826,32.402480,11.043180,True
39,Random Placement,5752.280490,237,49,51.398605,0.049304,79.170064,13.189040,True
39,Importance-based Placement,7368.385516,101,49,51.398605,0.102621,118.860427,13.847985,True
39,No-similarity Placement,10136.501543,0,35,51.398605,0.004300,188.360014,13.649619,True
39,Importance-demand-first Placement,7493.329232,32,49,51.398605,0.080683,122.784319,13.069623,True
40,Proposed,3805.735607,384,49,51.397354,0.050826,32.402480,11.292730,True
40,Random Placement,6499.561954,220,49,51.397354,0.131525,97.616472,13.343699,True
40,Importance-based Placement,7378.272493,101,49,51.397354,0.102621,118.860427,14.096410,True
40,No-similarity Placement,10145.064090,0,35,51.397354,0.004300,188.360014,13.864934,True
40,Importance-demand-first Placement,7504.242207,32,49,51.397354,0.080683,122.784319,13.343699,True
41,Proposed,3799.634473,384,49,51.373041,0.050826,32.402480,11.164515,True
41,Random Placement,4782.785913,226,49,51.373041,0.034413,54.942774,13.219419,True
41,Importance-based Placement,7373.311924,101,49,51.373041,0.102621,118.860427,13.996709,True
41,No-similarity Placement,10141.346864,0,35,51.373041,0.004300,188.360014,13.796316,True
41,Importance-demand-first Placement,7498.298511,32,49,51.373041,0.080683,122.784319,13.219419,True
42,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
42,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
42,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
42,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
42,Importance-demand-first Placement,7504.819604,32,49,51.408631,0.080683,122.784319,13.346857,True
43,Proposed,3799.510865,384,49,51.364403,0.050826,32.402480,11.170062,True
43,Random Placement,8078.941172,208,49,51.364403,0.085858,137.501607,13.021661,True
43,Importance-based Placement,7368.416199,101,49,51.364403,0.102621,118.860427,13.882953,True
43,No-similarity Placement,10139.929219,0,35,51.364403,0.004300,188.360014,13.769513,True
43,Importance-demand-first Placement,7490.042666,32,49,51.364403,0.080683,122.784319,13.021661,True
44,Proposed,3809.082408,384,49,51.356632,0.050826,32.402480,11.417122,True
44,Random Placement,6698.957777,195,49,51.356632,0.092102,102.810160,13.215051,True
44,Importance-based Placement,7377.555322,101,49,51.356632,0.102621,118.860427,14.119203,True
44,No-similarity Placement,10148.614830,0,35,51.356632,0.004300,188.360014,13.994424,True
44,Importance-demand-first Placement,7497.467403,32,49,51.356632,0.080683,122.784319,13.215051,True
45,Proposed,3791.488293,384,49,51.312782,0.050826,32.402480,11.021119,True
45,Random Placement,4451.996089,178,49,51.312782,0.070082,46.898241,13.018797,True
45,Importance-based Placement,7369.154261,101,49,51.312782,0.102621,118.860427,13.953026,True
45,No-similarity Placement,10145.988613,0,35,51.312782,0.004300,188.360014,13.972619,True
45,Importance-demand-first Placement,7487.863250,32,49,51.312782,0.080683,122.784319,13.018797,True
46,Proposed,3805.091326,384,49,51.293533,0.050826,32.402480,11.380444,True
46,Random Placement,7007.107067,184,49,51.293533,0.052210,109.668556,14.163377,True
46,Importance-based Placement,7379.785435,101,49,51.293533,0.102621,118.860427,14.238054,True
46,No-similarity Placement,10152.849001,0,35,51.293533,0.004300,188.360014,14.163377,True
46,Importance-demand-first Placement,7499.401641,32,49,51.293533,0.080683,122.784319,13.326505,True
47,Proposed,3794.547438,384,49,51.290386,0.050826,32.402480,11.119994,True
47,Random Placement,4282.971447,232,49,51.290386,0.059938,42.672301,13.051661,True
47,Importance-based Placement,7366.948005,101,49,51.290386,0.102621,118.860427,13.920266,True
47,No-similarity Placement,10137.339404,0,35,51.290386,0.004300,188.360014,13.778784,True
47,Importance-demand-first Placement,7488.281988,32,49,51.290386,0.080683,122.784319,13.051661,True
48,Proposed,3798.367827,384,49,51.194843,0.050826,32.402480,11.311047,True
48,Random Placement,9080.361395,127,49,51.194843,0.034803,162.621058,13.158332,True
48,Importance-based Placement,7367.104585,101,49,51.194843,0.102621,118.860427,14.019723,True
48,No-similarity Placement,10142.874107,0,35,51.194843,0.004300,188.360014,14.012695,True
48,Importance-demand-first Placement,7488.727087,32,49,51.194843,0.080683,122.784319,13.158332,True
49,Proposed,3785.731690,384,49,51.191514,0.050826,32.402480,10.998473,True
49,Random Placement,5320.014938,297,49,51.191514,0.043219,68.495832,13.269809,True
49,Importance-based Placement,7361.519966,101,49,51.191514,0.102621,118.860427,13.883437,True
49,No-similarity Placement,10137.474838,0,35,51.191514,0.004300,188.360014,13.881043,True
49,Importance-demand-first Placement,7486.926411,32,49,51.191514,0.080683,122.784319,13.116644,True
