Method,Expert,UAV,Deployed
Importance-based Placement,85,1,0
Importance-based Placement,85,2,0
Importance-based Placement,85,3,0
Importance-based Placement,86,0,0
Importance-based Placement,86,1,0
Importance-based Placement,86,2,0
Importance-based Placement,86,3,0
Importance-based Placement,87,0,0
Importance-based Placement,87,1,0
Importance-based Placement,87,2,0
Importance-based Placement,87,3,1
Importance-based Placement,88,0,0
Importance-based Placement,88,1,0
Importance-based Placement,88,2,0
Importance-based Placement,88,3,1
Importance-based Placement,89,0,0
Importance-based Placement,89,1,0
Importance-based Placement,89,2,0
Importance-based Placement,89,3,0
Importance-based Placement,90,0,0
Importance-based Placement,90,1,0
Importance-based Placement,90,2,0
Importance-based Placement,90,3,0
Importance-based Placement,91,0,0
Importance-based Placement,91,1,0
Importance-based Placement,91,2,0
Importance-based Placement,91,3,0
Importance-based Placement,92,0,0
Importance-based Placement,92,1,0
Importance-based Placement,92,2,0
Importance-based Placement,92,3,1
Importance-based Placement,93,0,0
Importance-based Placement,93,1,0
Importance-based Placement,93,2,1
Importance-based Placement,93,3,0
Importance-based Placement,94,0,0
Importance-based Placement,94,1,0
Importance-based Placement,94,2,0
Importance-based Placement,94,3,0
Importance-based Placement,95,0,0
Importance-based Placement,95,1,0
Importance-based Placement,95,2,0
Importance-based Placement,95,3,1
No-similarity Placement,0,0,0
No-similarity Placement,0,1,1
No-similarity Placement,0,2,0
No-similarity Placement,0,3,0
No-similarity Placement,1,0,0
No-similarity Placement,1,1,1
No-similarity Placement,1,2,0
No-similarity Placement,1,3,0
No-similarity Placement,2,0,0
No-similarity Placement,2,1,0
No-similarity Placement,2,2,1
No-similarity Placement,2,3,0
No-similarity Placement,4,0,0
No-similarity Placement,4,1,0
No-similarity Placement,4,2,0
No-similarity Placement,4,3,1
No-similarity Placement,5,0,0
No-similarity Placement,5,1,1
No-similarity Placement,5,2,0
No-similarity Placement,5,3,0
No-similarity Placement,7,0,1
No-similarity Placement,7,1,0
No-similarity Placement,7,2,0
No-similarity Placement,7,3,0
No-similarity Placement,8,0,1
No-similarity Placement,8,1,0
No-similarity Placement,8,2,0
No-similarity Placement,8,3,0
No-similarity Placement,9,0,1
No-similarity Placement,9,1,0
No-similarity Placement,9,2,0
No-similarity Placement,9,3,0
No-similarity Placement,10,0,1
No-similarity Placement,10,1,0
No-similarity Placement,10,2,0
No-similarity Placement,10,3,0
No-similarity Placement,12,0,0
No-similarity Placement,12,1,0
No-similarity Placement,12,2,1
No-similarity Placement,12,3,0
No-similarity Placement,15,0,0
No-similarity Placement,15,1,1
No-similarity Placement,15,2,0
No-similarity Placement,15,3,0
No-similarity Placement,18,0,1
No-similarity Placement,18,1,0
No-similarity Placement,18,2,0
No-similarity Placement,18,3,0
No-similarity Placement,21,0,0
No-similarity Placement,21,1,0
No-similarity Placement,21,2,1
No-similarity Placement,21,3,0
No-similarity Placement,23,0,1
No-similarity Placement,23,1,0
No-similarity Placement,23,2,0
No-similarity Placement,23,3,0
No-similarity Placement,25,0,0
No-similarity Placement,25,1,1
No-similarity Placement,25,2,0
No-similarity Placement,25,3,0
No-similarity Placement,26,0,0
No-similarity Placement,26,1,1
No-similarity Placement,26,2,0
No-similarity Placement,26,3,0
No-similarity Placement,27,0,1
No-similarity Placement,27,1,0
No-similarity Placement,27,2,0
No-similarity Placement,27,3,0
No-similarity Placement,29,0,0
No-similarity Placement,29,1,1
No-similarity Placement,29,2,0
No-similarity Placement,29,3,0
No-similarity Placement,31,0,0
No-similarity Placement,31,1,0
No-similarity Placement,31,2,1
No-similarity Placement,31,3,0
No-similarity Placement,34,0,0
No-similarity Placement,34,1,1
No-similarity Placement,34,2,0
No-similarity Placement,34,3,0
No-similarity Placement,35,0,0
No-similarity Placement,35,1,0
No-similarity Placement,35,2,1
No-similarity Placement,35,3,0
No-similarity Placement,36,0,1
No-similarity Placement,36,1,0
No-similarity Placement,36,2,0
No-similarity Placement,36,3,0
No-similarity Placement,38,0,0
No-similarity Placement,38,1,0
No-similarity Placement,38,2,0
No-similarity Placement,38,3,1
No-similarity Placement,40,0,0
No-similarity Placement,40,1,1
No-similarity Placement,40,2,0
No-similarity Placement,40,3,0
No-similarity Placement,41,0,0
No-similarity Placement,41,1,0
No-similarity Placement,41,2,1
No-similarity Placement,41,3,0
No-similarity Placement,42,0,0
No-similarity Placement,42,1,0
No-similarity Placement,42,2,0
No-similarity Placement,42,3,1
No-similarity Placement,43,0,0
No-similarity Placement,43,1,1
No-similarity Placement,43,2,0
No-similarity Placement,43,3,0
No-similarity Placement,44,0,1
No-similarity Placement,44,1,0
No-similarity Placement,44,2,0
No-similarity Placement,44,3,0
No-similarity Placement,47,0,1
No-similarity Placement,47,1,0
No-similarity Placement,47,2,0
No-similarity Placement,47,3,0
No-similarity Placement,49,0,1
No-similarity Placement,49,1,0
No-similarity Placement,49,2,0
No-similarity Placement,49,3,0
No-similarity Placement,62,0,1
No-similarity Placement,62,1,0
No-similarity Placement,62,2,0
No-similarity Placement,62,3,0
No-similarity Placement,67,0,1
No-similarity Placement,67,1,0
No-similarity Placement,67,2,0
No-similarity Placement,67,3,0
No-similarity Placement,79,0,1
No-similarity Placement,79,1,0
No-similarity Placement,79,2,0
No-similarity Placement,79,3,0
No-similarity Placement,80,0,1
No-similarity Placement,80,1,0
No-similarity Placement,80,2,0
No-similarity Placement,80,3,0
No-similarity Placement,95,0,1
No-similarity Placement,95,1,0
No-similarity Placement,95,2,0
No-similarity Placement,95,3,0
