Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Proposed,32,0,114.349124,64.065125,0.008266,33.829939,16.445795,10
Proposed,33,1,143.626101,65.848332,0.017809,68.745330,9.014629,11
Proposed,34,2,120.209542,64.649547,0.171706,36.984371,18.403917,9
Proposed,35,3,71.397116,63.133292,0.002705,0.000000,8.261119,8
Proposed,36,0,113.322175,62.608638,0.008266,32.382669,18.322602,9
Proposed,37,1,138.218525,62.643125,0.017809,66.936243,8.621348,12
Proposed,38,2,156.424109,61.758021,0.176493,69.114404,25.375191,11
Proposed,39,3,73.733736,65.295874,0.002705,0.000000,8.435157,8
Random Placement,0,0,63.104055,22.400999,0.013539,33.357422,7.332095,7
Random Placement,1,1,81.323077,25.515099,0.014050,52.286120,3.507808,7
Random Placement,2,2,96.897839,23.627972,0.013885,61.192844,12.063137,6
Random Placement,3,3,67.088348,24.182869,0.012430,35.104286,7.788762,6
Random Placement,4,0,71.026196,26.380391,0.013864,38.652251,5.979689,6
Random Placement,5,1,111.500522,27.777419,0.262946,79.460030,4.000127,6
Random Placement,6,2,103.220483,25.403092,0.013539,65.828666,11.975186,8
Random Placement,7,3,74.628143,26.984856,0.012330,40.782920,6.848036,7
Random Placement,8,0,114.041446,40.783127,0.013560,63.008465,10.236294,6
Random Placement,9,1,72.911563,22.708135,0.014967,46.885850,3.302612,6
Random Placement,10,2,97.302600,23.370234,0.013718,63.974337,9.944311,5
Random Placement,11,3,88.196890,31.325791,0.012392,47.494034,9.364672,7
Random Placement,12,0,71.272719,25.003498,0.013539,38.652251,7.603430,5
Random Placement,13,1,91.719868,29.321397,0.014988,58.252116,4.131367,6
Random Placement,14,2,111.726708,27.738215,0.013560,73.245980,10.728953,7
Random Placement,15,3,89.707224,17.740737,0.090606,69.404812,2.471068,2
Random Placement,16,0,77.463319,17.740569,0.011172,52.396031,7.315547,3
Random Placement,17,1,106.097815,26.521251,0.262946,75.536078,3.777540,7
Random Placement,18,2,80.648987,19.305028,0.013885,52.848366,8.481707,7
Random Placement,19,3,52.056004,18.648700,0.014167,28.393172,4.999963,6
Random Placement,20,0,205.271683,71.987294,0.013560,111.720891,21.549937,7
Random Placement,21,1,222.876859,70.300201,0.013971,142.915394,9.647294,6
Random Placement,22,2,299.936028,72.497647,0.013560,195.631669,31.793152,7
Random Placement,23,3,192.645400,70.274996,0.012381,105.312858,17.045165,7
Random Placement,24,0,201.464845,71.100551,0.013560,109.602959,20.747775,7
Random Placement,25,1,361.414791,116.693148,0.014988,228.746114,15.960540,7
Random Placement,26,2,455.385984,109.542798,0.013560,298.546907,47.282719,7
Random Placement,27,3,305.162485,110.522177,0.012392,165.196640,29.431276,7
Random Placement,28,0,308.862574,108.553041,0.013560,169.434527,30.861446,7
Random Placement,29,1,356.582226,110.496740,0.014988,230.877289,15.193209,7
Random Placement,30,2,272.594579,65.386627,0.013539,177.088383,30.106030,6
Random Placement,31,3,184.000633,66.508668,0.012430,99.634223,17.845311,8
Random Placement,32,0,179.537760,64.065125,0.013539,99.013301,16.445795,6
Random Placement,33,1,209.852343,65.848332,0.014967,134.974415,9.014629,5
Random Placement,34,2,265.514910,64.649547,0.013539,172.452561,28.399262,7
Random Placement,35,3,173.276274,63.133292,0.012362,94.471828,15.658792,7
Random Placement,36,0,175.722238,62.608638,0.013560,94.777438,18.322602,7
Random Placement,37,1,202.701918,62.643125,0.014988,131.422457,8.621348,6
Random Placement,38,2,255.890676,61.758021,0.013560,168.743904,25.375191,8
Random Placement,39,3,180.994635,65.295874,0.012362,94.988068,20.698332,7
Importance-based Placement,0,0,93.630999,22.400999,0.190286,63.707619,7.332095,3
Importance-based Placement,1,1,89.960244,25.515099,0.007987,60.929350,3.507808,1
Importance-based Placement,2,2,78.749782,23.627972,0.197315,42.861358,12.063137,3
Importance-based Placement,3,3,62.618548,24.182869,0.007897,30.639019,7.788762,1
Importance-based Placement,4,0,106.377324,26.380391,0.197304,73.819939,5.979689,3
Importance-based Placement,5,1,97.589218,27.777419,0.007974,65.803698,4.000127,1
Importance-based Placement,6,2,83.684059,25.403092,0.197351,46.108431,11.975186,3
Importance-based Placement,7,3,69.436062,26.984856,0.007839,35.595331,6.848036,1
Importance-based Placement,8,0,180.944831,40.783127,0.198616,129.726794,10.236294,4
Importance-based Placement,9,1,79.636421,22.708135,0.007846,53.617828,3.302612,1
Importance-based Placement,10,2,78.321476,23.370234,0.197330,44.809602,9.944311,3
Importance-based Placement,11,3,89.412097,31.325791,0.009207,48.712426,9.364672,2
Importance-based Placement,12,0,106.617159,25.003498,0.190291,73.819939,7.603430,3
Importance-based Placement,13,1,100.076723,29.321397,0.007869,66.616090,4.131367,1
Importance-based Placement,14,2,89.968214,27.738215,0.197300,51.303747,10.728953,3
Importance-based Placement,15,3,45.298446,17.740737,0.007867,22.979264,4.570577,1
Importance-based Placement,16,0,75.579195,17.740569,0.197292,52.584066,5.057268,3
Importance-based Placement,17,1,92.860743,26.521251,0.007818,62.554133,3.777540,1
Importance-based Placement,18,2,65.000685,19.305028,0.197321,37.016627,8.481707,3
Importance-based Placement,19,3,48.438138,18.648700,0.007915,24.781560,4.999963,0
Importance-based Placement,20,0,323.755626,71.987294,0.198616,230.019778,21.549937,4
Importance-based Placement,21,1,262.673286,70.300201,0.009205,182.716587,9.647294,2
Importance-based Placement,22,2,258.165694,72.497647,0.198616,153.676280,31.793152,4
Importance-based Placement,23,3,195.343876,70.274996,0.009205,108.014511,17.045165,2
Importance-based Placement,24,0,317.706155,71.100551,0.198616,225.659214,20.747775,4
Importance-based Placement,25,1,419.661630,116.693148,0.009205,286.998737,15.960540,2
Importance-based Placement,26,2,391.544361,109.542798,0.198645,234.520200,47.282719,4
Importance-based Placement,27,3,309.397185,110.522177,0.009205,169.434527,29.431276,2
Importance-based Placement,28,0,488.458294,108.553041,0.198645,348.845162,30.861446,4
Importance-based Placement,29,1,415.371792,110.496740,0.009205,289.672638,15.193209,2
Importance-based Placement,30,2,234.794069,65.386627,0.191603,139.109808,30.106030,4
Importance-based Placement,31,3,186.553341,66.508668,0.009163,102.190199,17.845311,2
Importance-based Placement,32,0,284.558914,64.065125,0.191603,203.856391,16.445795,4
Importance-based Placement,33,1,244.219205,65.848332,0.009163,169.347081,9.014629,2
Importance-based Placement,34,2,228.715588,64.649547,0.198588,135.468190,28.399262,4
Importance-based Placement,35,3,175.696671,63.133292,0.009217,96.895370,15.658792,2
Importance-based Placement,36,0,276.265147,62.608638,0.198645,195.135262,18.322602,4
Importance-based Placement,37,1,236.164269,62.643125,0.009217,164.890578,8.621348,2
Importance-based Placement,38,2,219.886757,61.758021,0.198650,132.554896,25.375191,4
Importance-based Placement,39,3,183.428275,65.295874,0.009217,97.424853,20.698332,2
No-similarity Placement,0,0,115.703724,22.400999,0.003940,90.153193,3.145592,0
No-similarity Placement,1,1,108.950876,25.515099,0.006111,76.309739,7.119927,0
No-similarity Placement,2,2,142.681403,23.627972,0.006096,111.397593,7.649743,0
No-similarity Placement,3,3,149.751694,24.182869,0.004327,113.771401,11.793097,0
No-similarity Placement,4,0,130.749123,26.380391,0.006086,100.687492,3.675155,0
No-similarity Placement,5,1,178.124801,27.777419,0.004417,142.986166,7.356799,0
No-similarity Placement,6,2,160.156909,25.403092,0.004391,127.879889,6.869537,0
No-similarity Placement,7,3,148.771998,26.984856,0.004300,110.872059,10.910782,0
No-similarity Placement,8,0,216.720908,40.783127,0.003922,170.289365,5.644495,0
No-similarity Placement,9,1,109.026914,22.708135,0.003940,79.092548,7.222290,0
No-similarity Placement,10,2,135.412001,23.370234,0.004335,105.670751,6.366682,0
No-similarity Placement,11,3,122.650259,31.325791,0.003996,76.963006,14.357466,0
No-similarity Placement,12,0,174.380116,25.003498,0.004265,145.846148,3.526206,0
No-similarity Placement,13,1,136.185759,29.321397,0.004284,98.266499,8.593578,0
No-similarity Placement,14,2,133.320365,27.738215,0.003990,97.504630,8.073529,0
No-similarity Placement,15,3,109.753414,17.740737,0.004319,85.328550,6.679807,0
No-similarity Placement,16,0,79.279397,17.740569,0.004316,58.956494,2.578017,0
No-similarity Placement,17,1,169.387011,26.521251,0.004287,135.925121,6.936352,0
No-similarity Placement,18,2,112.353455,19.305028,0.004357,87.293229,5.750841,0
No-similarity Placement,19,3,137.222439,18.648700,0.006144,111.192563,7.375031,0
No-similarity Placement,20,0,384.010801,71.987294,0.003993,301.941647,10.077868,0
No-similarity Placement,21,1,336.633140,70.300201,0.004012,245.666249,20.662679,0
No-similarity Placement,22,2,352.269514,72.497647,0.003993,260.423760,19.344115,0
No-similarity Placement,23,3,268.498618,70.274996,0.004012,170.657101,27.562509,0
No-similarity Placement,24,0,377.217096,71.100551,0.004012,296.217634,9.894899,0
No-similarity Placement,25,1,527.249772,116.693148,0.003993,385.875766,24.676864,0
No-similarity Placement,26,2,539.229840,109.542798,0.004006,397.423937,32.259100,0
No-similarity Placement,27,3,418.965341,110.522177,0.003993,267.697413,40.741757,0
No-similarity Placement,28,0,581.411604,108.553041,0.004006,457.920980,14.933577,0
No-similarity Placement,29,1,531.709530,110.496740,0.003993,389.470882,31.737916,0
No-similarity Placement,30,2,320.802080,65.386627,0.003951,235.739043,19.672458,0
No-similarity Placement,31,3,257.396383,66.508668,0.003951,161.455002,29.428761,0
No-similarity Placement,32,0,340.601332,64.065125,0.003957,267.597573,8.934678,0
No-similarity Placement,33,1,311.159973,65.848332,0.003957,227.690669,17.617014,0
No-similarity Placement,34,2,311.079717,64.649547,0.003968,229.567864,16.858338,0
No-similarity Placement,35,3,242.045648,63.133292,0.004006,153.089458,25.818892,0
No-similarity Placement,36,0,327.363149,62.608638,0.004006,256.149548,8.600958,0
No-similarity Placement,37,1,301.190328,62.643125,0.004006,221.698810,16.844387,0
No-similarity Placement,38,2,407.049232,61.758021,0.004371,327.804786,17.482054,0
No-similarity Placement,39,3,249.886929,65.295874,0.004006,153.926013,30.661037,0
