Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Proposed,0,0,41.138612,22.400999,0.008266,11.397252,7.332095,10
Proposed,1,1,56.177031,25.515099,0.017809,27.136315,3.507808,11
Proposed,2,2,43.802150,23.627972,0.171706,13.123487,6.878986,10
Proposed,3,3,27.382311,24.182869,0.002705,0.000000,3.196736,9
Proposed,4,0,45.574686,26.380391,0.008266,13.206340,5.979689,10
Proposed,5,1,61.102575,27.777419,0.017809,29.307220,4.000127,10
Proposed,6,2,64.516984,25.403092,0.176493,26.962212,11.975186,11
Proposed,7,3,30.533828,26.984856,0.002721,0.000000,3.546250,8
Proposed,8,0,72.555830,40.783127,0.008266,21.528143,10.236294,10
Proposed,9,1,49.908513,22.708135,0.017809,23.879957,3.302612,12
Proposed,10,2,43.421374,23.370234,0.171706,13.720009,6.159425,10
Proposed,11,3,35.529815,31.325791,0.002721,0.000000,4.201303,7
Proposed,12,0,45.821534,25.003498,0.008266,13.206340,7.603430,11
Proposed,13,1,63.139498,29.321397,0.017697,29.669037,4.131367,12
Proposed,14,2,49.525841,27.738215,0.171722,15.708416,5.907489,8
Proposed,15,3,37.997098,17.740737,0.008011,17.777281,2.471068,8
Proposed,16,0,43.881103,17.740569,0.010476,18.814511,7.315547,9
Proposed,17,1,58.176550,26.521251,0.017809,27.859950,3.777540,10
Proposed,18,2,49.608949,19.305028,0.176493,21.645720,8.481707,10
Proposed,19,3,40.249418,18.648700,0.004364,19.171577,2.424777,8
Proposed,20,0,131.717247,71.987294,0.008266,38.171749,21.549937,9
Proposed,21,1,154.137785,70.300201,0.017697,74.172593,9.647294,10
Proposed,22,2,134.852943,72.497647,0.171706,41.955389,20.228201,9
Proposed,23,3,79.422004,70.274996,0.002705,0.000000,9.144303,10
Proposed,24,0,129.304706,71.100551,0.008266,37.448114,20.747775,9
Proposed,25,1,249.176741,116.693148,0.017809,116.505244,15.960540,12
Proposed,26,2,279.281339,109.542798,0.176493,122.279329,47.282719,10
Proposed,27,3,124.826365,110.522177,0.002719,0.000000,14.301469,7
Proposed,28,0,197.313558,108.553041,0.008266,57.890805,30.861446,9
Proposed,29,1,243.298454,110.496740,0.017809,117.590697,15.193209,12
Proposed,30,2,121.028242,65.386627,0.171706,37.978575,17.491333,8
Proposed,31,3,75.211840,66.508668,0.002708,0.000000,8.700464,7
