Scenario,Sweep,Value,n,D_total_ms_mean,D_total_ms_std,D_total_ms_min,D_total_ms_max,Substitutions_mean,Substitutions_std,Substitutions_min,Substitutions_max,Deployments_mean,Deployments_std,Deployments_min,Deployments_max,AvgAccess_ms_mean,AvgAccess_ms_std,AvgAccess_ms_min,AvgAccess_ms_max,AvgCompute_ms_mean,AvgCompute_ms_std,AvgCompute_ms_min,AvgCompute_ms_max,AvgTrans_ms_mean,AvgTrans_ms_std,AvgTrans_ms_min,AvgTrans_ms_max,AvgReturn_ms_mean,AvgReturn_ms_std,AvgReturn_ms_min,AvgReturn_ms_max,Feasible_rate
real_moe_uav,scheduling_lambda,0.1,5,3799.041046,7.746210,3790.833896,3808.372167,384.000000,0.000000,384.000000,384.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050826,0.000000,0.050826,0.050826,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
real_moe_uav,scheduling_lambda,0.2,5,4096.684841,7.410617,4087.715293,4106.441361,335.000000,0.000000,335.000000,335.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.042759,0.000000,0.042759,0.042759,39.339895,0.000000,39.339895,39.339895,11.543801,0.193043,11.329154,11.808461,1.000000
real_moe_uav,scheduling_lambda,0.4,5,5943.206308,6.843551,5938.429936,5954.091887,269.000000,0.000000,269.000000,269.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.027214,0.000000,0.027214,0.027214,84.789934,0.000000,84.789934,84.789934,12.272343,0.189249,12.099618,12.565229,1.000000
synthetic_hotspot_v2,placement_profile,compute_heavy,5,9562.861597,621.213222,8887.084143,10565.065237,115.400000,6.767570,108.000000,126.000000,5.800000,0.836660,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,163.290842,14.168427,147.525962,182.592571,40.793158,8.217706,32.003030,52.297432,0.424416,0.046811,0.366608,0.487535,1.000000
synthetic_hotspot_v2,placement_profile,default,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,placement_profile,demand_heavy,5,9948.367089,748.762818,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.200000,0.836660,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,174.088924,17.011882,159.135802,194.957349,39.655616,5.455814,33.454398,44.891032,0.401513,0.033285,0.366608,0.454333,1.000000
synthetic_hotspot_v2,placement_profile,memory_heavy,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,placement_profile,network_heavy,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,redundancy_nu,0,5,9878.599454,678.281082,9286.973730,10857.891738,115.000000,6.000000,108.000000,124.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.622724,13.825721,159.135802,189.948377,40.370944,4.608103,34.208012,44.891032,0.408193,0.031509,0.366608,0.454333,1.000000
synthetic_hotspot_v2,redundancy_nu,0.1,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
