experiment,value,num_uavs,num_tasks,area_size,num_experts,memory_scale,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_D_per_task_ms,std_D_per_task_ms,mean_runtime_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms,mean_Deployments
task_count,100.000000,10,100,240.000000,8,1.000000,Importance-based Placement,1.000000,0,21679.928554,3697.962712,216.799286,36.979627,12.842980,253.400000,155.943779,26.399080,18.200000
task_count,100.000000,10,100,240.000000,8,1.000000,No-similarity Placement,1.000000,0,38571.888115,2383.820123,385.718881,23.838201,8.442420,0.000000,318.992345,32.259335,10.000000
area_size,240.000000,10,60,240.000000,8,1.000000,Proposed,1.000000,0,9630.443462,485.879519,160.507391,8.097992,14.166400,178.800000,119.890583,6.106787,33.200000
area_size,240.000000,10,60,240.000000,8,1.000000,Random Placement,1.000000,0,12557.856949,2855.639829,209.297616,47.593997,8.517880,160.800000,147.315460,27.390498,20.200000
area_size,240.000000,10,60,240.000000,8,1.000000,Importance-based Placement,1.000000,0,12895.735886,2260.146397,214.928931,37.669107,8.239760,154.000000,152.955817,27.411503,18.200000
area_size,240.000000,10,60,240.000000,8,1.000000,No-similarity Placement,1.000000,0,23468.213029,1751.479941,391.136884,29.191332,5.713260,0.000000,324.495661,32.077950,10.000000
area_size,500.000000,10,60,500.000000,8,1.000000,Proposed,0.800000,1,10188.629370,501.675676,169.810490,8.361261,12.924620,179.000000,128.237201,7.364936,33.750000
area_size,500.000000,10,60,500.000000,8,1.000000,Random Placement,0.200000,4,11693.906925,0.000000,194.898449,0.000000,7.620280,170.000000,174.773034,48.381370,21.000000
area_size,500.000000,10,60,500.000000,8,1.000000,Importance-based Placement,0.200000,4,12868.981205,0.000000,214.483020,0.000000,5.798600,178.000000,154.758797,44.431652,20.000000
area_size,500.000000,10,60,500.000000,8,1.000000,No-similarity Placement,0.000000,5,inf,nan,inf,nan,3.410220,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,8,1.000000,Proposed,0.400000,3,10433.507320,594.300861,173.891789,9.905014,7.120720,178.500000,130.846536,3.571971,37.000000
area_size,1000.000000,10,60,1000.000000,8,1.000000,Random Placement,0.000000,5,inf,nan,inf,nan,3.400240,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,8,1.000000,Importance-based Placement,0.000000,5,inf,nan,inf,nan,3.327140,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,8,1.000000,No-similarity Placement,0.000000,5,inf,nan,inf,nan,2.473600,inf,inf,inf,inf
full_scale_area,240.000000,10,60,240.000000,8,1.000000,Proposed,1.000000,0,9630.443462,485.879519,160.507391,8.097992,14.227300,178.800000,119.890583,6.106787,33.200000
